image_path,label,source
C:\Projects\choochoo\data\raw\cifake\train\REAL\1851 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0855 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3142 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2922 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3877 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0209.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1133 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5891 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\797.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0952 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1943 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0321 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2120 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1230 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3192 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1261 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3695 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0698 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4509 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0348.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5885 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0240 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img002451.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3822 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5611 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4157 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4471 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4314 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2231 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\855.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0898 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3538 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2793 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\4aa252c1726acef937c0a31e5f9595cd.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5201 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0102 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3972 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4781.jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\7caa56fe554f7df5a2d88356f9ec7a09.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1990 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4814 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3710 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1730.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4527.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0805 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3707 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1420 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0128 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\03557eb22bdc12658d9b670cec7b21ff.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1475 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5921 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0109 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0725 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\9fd488bf0574b4b0e7009bafec47cc50.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4510.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1831 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4757 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\606 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5847 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2353 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1726 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0419 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3207.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1928 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2241 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1750 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5963 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5919 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1747 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5243 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2492.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3756 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\a8d6066cd32bc1961f0808cb908bb111.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1562 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3971 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3985 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1769 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\413 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\846 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img011495.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2734 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img029787.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3065 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\747 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3325 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1454 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4142 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4991 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3190 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0874 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1771 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1948 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1787 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4021 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2627 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\196.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4168 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5923 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0960 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3703 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2905 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\f67be6cc01402d73440cfc3eb17b0565.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2544 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\sid_set\00002_00141.jpg,0,sid_set
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5636 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\1bbc6d3f6b10624185448d63ff532cb0.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3429.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0838 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4684 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2360 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\694.jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img006927.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0813 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1484 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3909 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\476 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3589 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1248 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2805.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\2 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3094 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3520 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\sid_set\00004_00196.jpg,0,sid_set
C:\Projects\choochoo\data\raw\cifake\train\REAL\3892 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0089 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5161 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\1a8f64fd808cf87fb5aec2cc5b36af58.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3752.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1018 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2868 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\577 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3386 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\6e8e2faca5adc86d42a7e7d629391a93.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3643 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5983 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img022086.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1973.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0666 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3795 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\490 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5564 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\63eeec56baea5a7a4b1b71e617659450.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2094 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img010827.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\5.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1847 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0134 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4307 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4052 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2486 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4245 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1244 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1917 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3994 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\974 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\425 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1620 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4422 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2413 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1136 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4260 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1143 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5997 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4599 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1204.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\689 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2171 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3959 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2913 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3664 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\142 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\sid_set\00003_00051.jpg,0,sid_set
C:\Projects\choochoo\data\raw\cifake\train\REAL\1856 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3367 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1307 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\a2e5d25a17863d49e079f48042d9da61.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1675 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3161 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3263 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2228 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2657 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2037 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4634 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2118 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1313 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0540 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4771 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4127 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4681 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img004839.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4497 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2057 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\895 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3414 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4228 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1125 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3373 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3495 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4527.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3620 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2848 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\227 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1219 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0430 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4882.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0339 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5652 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4734 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0844 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0221.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2544.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1470 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2423.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4924 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1534 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4757 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5776 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4924 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2930 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4990 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4670 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2660 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\dd73950505ca5ce1d91d9e23fb7c1cdd.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0914 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1996.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1834 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1918 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0920 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0568 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0919 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5823 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4708.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1266 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3328.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\377 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1467 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\sid_set\00000_00513.jpg,0,sid_set
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1610 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\312.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4786.jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img002280.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5785 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4477 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\826 (5).jpg,1,cifake
C:\Projects\choochoo\data\raw\sid_set\00003_00195.jpg,1,sid_set
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2221 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\9572df437b4a96072117b4befffef8c1.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4443 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\7f1f1278907790082ac1af5822062a64.png,1,wildfake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\1e1871a1eaba2206247aaa4cbcacd6f9.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1652 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1072 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4250 (4).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2559 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img017570.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0335 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0335 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2164 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1237 (9).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1642 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3310 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2295 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5532 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img005201.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3749 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0521 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2123.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2555 (4).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\0934dfdfe52e556b7ba4d3e4e95a39df.png,1,wildfake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img009165.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1588 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4145 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2834 (2).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\daf3873ce0a3a9b12942bd8c5d01c1ff.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0027 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2074 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0680 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3819 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1658 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3360 (5).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img009394.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4370 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4701 (9).jpg,0,cifake
